2026-07-02 09:07:39.216 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97532736000142: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.233 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97532719000105: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.242 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97530882000139: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.251 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97530832000151: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.261 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97530785000146: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.269 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97530516000180: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.278 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97530316000127: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.288 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97530053000156: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.298 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97529984000134: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.312 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97529750000197: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.321 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97529483000158: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.332 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97529395000156: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.334 | INFO     | services.casa_dados_client:pesquisar_todos:148 - Pesquisando termo 'condominio' pagina 6 (fonte gratuita)...
2026-07-02 09:07:39.583 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97529111000121: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.607 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97529100000141: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.617 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97529066000105: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.625 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97528741001315: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.633 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97528256000108: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.643 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97528254000119: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.652 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97528242000194: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.660 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97528069000124: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.669 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97528024000150: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.680 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97527640000196: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.692 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97527365000291: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.701 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97527341000151: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.714 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97526803000116: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.735 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97526467000101: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.754 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97526375000121: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.770 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97526280000108: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.779 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97526181000126: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.795 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97526156000142: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.803 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97526112000112: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.823 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97525820000139: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:39.823 | INFO     | services.casa_dados_client:pesquisar_todos:148 - Pesquisando termo 'condominio' pagina 7 (fonte gratuita)...
2026-07-02 09:07:40.072 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97525466000142: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:40.083 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97525462000164: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:40.094 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97523087000113: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
