cnpj,razao_social,nome_fantasia,situacao_cadastral,data_situacao,motivo_situacao,data_abertura,matriz_filial,natureza_juridica,mei,simples,capital_social,porte,cnae_principal_codigo,cnae_principal_descricao,cnaes_secundarios,logradouro,numero,complemento,bairro,cep,municipio,uf,telefone1,telefone2,email,socios,ultima_atualizacao
52.584.504/0001-08,RESIDENCIAL DUAS BARRAS,RESIDENCIAL DUAS BARRAS,ATIVA,,,27/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA DUAS BARRAS,265,,VILA CALIFORNIA,03212030,SAO PAULO,SP,(11) 26090816,,,,
52.579.590/0001-52,CONDOMINIO RESIDENCIAL JCB II,-,ATIVA,,,08/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA JOSE MASCARENHAS,861,,VILA MATILDE,03515000,SAO PAULO,SP,(11) 45643336,,,,
52.579.223/0001-59,CONDOMINIO RESIDENCIAL PLANO & PARQUE NABUCO - CANARIO,-,ATIVA,,,11/10/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA MANOEL SOARES DE OLIVEIRA,51,,JARDIM ITACOLOMI,04385130,SAO PAULO,SP,(11) 31915000,,,,
52.573.659/0001-30,CONDOMINIO RESIDENCIAL SILVADO,-,ATIVA,,,15/06/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA SILVADO,045,,CHACARA NOSSA SENHORA APARECIDA,02963020,SAO PAULO,SP,(11) 47501486,,,,
52.568.818/0001-09,CONDOMINIO VIBRA CUPECE,-,ATIVA,,,04/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,AVENIDA GARCIA DE AVILA,81,LOJA  AV CUPECE 5276,JARDIM MIRIAM,04417000,SAO PAULO,SP,(11) 31452711,,,,
52.551.433/0001-39,RESIDENCIAL SATUBA,SATUBA,ATIVA,,,31/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA SATUBA,35,,VILA PAULICEIA,02302050,SAO PAULO,SP,(11) 29871448,,,,
52.549.593/0001-43,PIQUERI,CONDOMINIO RESIDENCIAL DO PIQUERI,ATIVA,,,17/05/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,AVENIDA APARECIDA DO RIO NEGRO,46,,JARDIM IRIS,05144085,SAO PAULO,SP,(11) 991327294,(11) 13331212,,,
52.547.631/0001-29,CONDOMINIO RESIDENCIAL ARGOS,CONDOMINIO RESIDENCIAL ARGOS,ATIVA,,,17/02/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA INES MONTEIRO,403,,PARQUE ARTUR ALVIM,03568030,SAO PAULO,SP,(11) 29051804,,,,
52.547.444/0001-45,CONDOMINIO ECOS VILA MADALENA - TORRE TIM MAIA,CONDOMINIO ECOS VILA MADALENA - TORRE TIM MAIA,ATIVA,,,06/06/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA OSCAR CARAVELAS,41,,SUMAREZINHO,05441000,SAO PAULO,SP,(11) 37598100,,,,
52.538.500/0001-85,CONDOMINIO BEM VIVER SANTA CECILIA,-,ATIVA,,,04/09/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA FORTUNATO,188,,VILA BUARQUE,01224030,SAO PAULO,SP,(11) 38233531,,,,
